1
842 897
790 281 412
147 326 892
109 445 702
171 336 318
824 394 -469
408 612 39
317 379 -511
614 517 539
784 66 -575
66 835 -657
342 347 720
540 437 849
488 198 830
211 174 -231
119 516 -757
589 710 130
48 382 173
257 107 -198
531 789 250
545 138 613
470 5 68
574 627 417
722 58 318
78 321 40
281 94 859
178 263 454
748 518 561
338 237 -892
678 825 217
146 217 -748
541 124 -133
383 7 -179
420 256 857
818 723 -659
305 821 -555
101 313 898
546 781 418
486 10 260
337 200 -213
217 464 -418
511 739 -357
555 341 622
406 479 -147
127 70 996
626 422 175
454 800 -54
273 317 -637
324 620 -861
706 550 983
23 63 591
237 261 -363
251 457 -137
303 106 241
36 702 799
355 503 -66
748 659 299
372 262 -131
649 130 -975
611 245 -660
220 662 -733
242 23 -680
464 683 293
671 79 131
271 7 -503
416 353 -727
91 552 -147
297 88 -888
538 444 -553
588 507 -134
783 148 -262
286 213 -272
123 391 -299
17 807 468
708 816 -955
801 324 -443
297 546 410
838 609 106
330 114 -889
693 483 -779
325 197 -343
642 206 315
792 787 -503
118 351 -570
382 9 397
822 78 77
790 555 229
121 252 770
644 196 -724
243 185 881
155 447 -767
353 252 989
486 654 270
179 54 -881
131 245 52
142 208 701
260 418 586
664 242 810
628 834 -756
227 367 -675
70 206 758
215 398 -162
687 454 -248
477 697 -991
763 108 687
819 273 639
363 382 161
74 26 -217
543 51 -864
653 698 -500
706 446 180
598 305 503
707 828 -56
380 706 -968
831 663 19
400 412 447
762 53 19
358 685 -382
724 334 788
760 264 595
301 339 608
56 795 -434
358 406 -852
140 543 823
548 604 260
265 361 759
558 523 -896
424 483 0
653 403 -158
87 247 174
683 648 -866
588 143 887
590 199 -712
15 772 51
744 562 818
639 46 -793
370 165 -274
823 745 424
622 517 324
722 527 814
414 202 155
745 410 -238
65 619 -713
315 576 -809
27 728 -474
534 346 226
722 186 977
22 194 846
690 63 46
530 461 846
186 173 793
228 630 -981
732 383 947
272 31 894
607 368 843
41 310 706
507 143 -808
756 55 249
203 106 -48
113 103 924
510 686 119
675 353 670
246 410 -286
620 187 643
522 77 200
341 693 260
181 275 -348
76 489 538
645 237 156
717 51 152
376 25 481
50 441 -13
746 68 -341
577 251 -592
524 379 802
27 654 783
541 108 -704
637 497 -557
472 744 482
327 159 -312
515 273 533
754 347 92
122 558 836
128 30 -301
81 684 -725
380 229 -189
815 646 760
4 41 12
92 246 958
267 138 -980
621 589 -259
451 365 728
506 730 435
451 447 731
820 153 81
593 30 548
246 252 -598
292 595 -24
583 474 -710
779 164 104
724 434 152
55 706 968
796 595 867
356 426 -353
776 401 -135
173 12 21
412 139 755
543 302 -746
768 341 -195
527 461 189
786 53 -299
50 499 -664
767 12 -102
328 528 -879
799 622 486
338 841 -16
27 198 218
70 116 -442
642 26 113
394 331 -59
493 299 419
515 659 884
96 468 -479
690 319 -146
562 420 273
482 124 -102
120 647 436
702 580 -786
753 233 515
513 604 319
154 96 229
428 552 598
193 228 -238
490 632 126
471 2 -24
736 587 -426
423 331 -770
416 224 773
171 431 -686
80 786 -233
633 211 634
61 303 -507
731 696 -370
325 79 -705
49 308 -15
581 450 -400
438 137 -400
735 268 516
397 166 971
354 710 335
530 183 144
90 786 -491
260 99 683
673 578 -680
410 404 -145
146 577 -878
17 213 -132
31 537 165
352 543 926
636 206 650
14 113 -262
480 218 -428
190 655 -882
539 552 -512
4 552 268
412 753 178
835 17 -605
451 46 -307
348 358 655
747 772 311
272 175 788
578 483 885
244 126 359
628 209 -16
305 699 510
369 263 659
184 479 904
603 655 904
828 842 225
648 8 -699
235 448 -236
357 822 842
691 317 -102
640 90 713
610 409 153
91 422 520
311 828 -156
387 467 -989
739 279 -132
132 94 764
617 548 903
233 169 -405
378 590 848
62 282 -357
796 504 -17
284 61 3
233 436 -848
827 345 855
817 335 545
841 111 729
413 728 -634
497 335 -492
445 814 -468
281 413 -404
240 767 -583
13 223 -293
834 311 298
19 810 726
766 619 -449
572 426 -528
506 302 996
197 314 634
563 88 -54
143 688 -428
835 669 60
738 147 5
481 759 657
522 117 -593
129 409 887
179 690 -586
338 46 506
218 642 -142
778 211 -212
667 112 -662
126 480 -285
200 445 955
583 139 -37
695 98 331
779 425 444
109 269 251
751 524 181
346 343 951
611 289 483
803 356 614
473 3 383
370 612 119
444 385 -80
51 523 -870
40 318 620
813 817 203
567 737 480
176 442 -666
566 182 503
293 443 954
788 86 295
438 37 266
35 333 -823
414 153 67
568 212 100
725 12 697
300 181 -791
118 817 -702
423 513 -67
766 190 -489
736 283 -958
710 498 32
32 10 -819
748 618 -64
540 355 331
828 775 -894
180 532 405
754 809 603
614 781 -958
444 792 473
306 187 -851
163 123 -741
200 378 -857
531 684 852
600 531 -483
406 475 525
35 602 30
153 223 -48
609 104 -816
358 615 809
502 143 606
311 466 86
520 773 -309
406 356 -732
540 339 425
232 475 175
486 714 -484
346 359 481
618 590 375
547 816 980
139 815 -834
454 165 444
559 433 -182
705 512 -851
438 246 -498
66 231 43
575 253 989
348 483 -161
304 402 434
340 839 373
299 295 -109
434 270 -283
644 104 -563
378 614 583
789 635 104
357 666 234
54 640 91
794 650 -128
836 594 -825
795 333 627
605 723 837
143 361 -921
512 220 325
444 757 -971
131 774 -78
61 526 562
105 263 900
306 519 -419
565 805 402
521 835 270
541 361 -858
207 665 -474
87 820 979
462 416 -929
535 502 192
36 349 -860
195 723 667
600 812 35
792 439 -771
237 192 -76
499 227 76
509 342 -452
728 25 -476
160 670 803
420 124 979
278 704 -284
209 764 -572
377 136 179
35 406 -104
518 317 -429
321 365 102
764 90 -945
602 78 -808
728 687 -765
60 98 -183
322 113 -347
694 368 912
725 833 427
788 824 -280
188 242 -457
807 353 698
407 268 957
226 42 759
6 269 93
6 455 926
802 397 -485
439 291 189
387 75 -994
397 379 -323
391 247 284
551 440 181
577 272 625
817 796 432
109 423 339
500 710 -45
290 355 73
678 687 -600
103 57 187
79 694 975
637 485 -400
223 89 -325
623 35 994
371 582 391
778 466 885
606 146 571
744 18 122
96 441 -126
183 294 419
814 439 -541
738 466 -846
49 672 117
588 345 -71
835 25 -336
791 587 199
191 253 -425
707 829 -683
195 380 989
550 460 -520
414 460 399
226 302 -202
386 732 81
367 192 -141
581 649 14
236 793 419
267 20 -307
391 570 981
386 234 -770
667 718 -723
170 770 170
63 132 -32
287 457 -865
51 42 -58
630 697 -751
612 387 172
609 286 485
701 270 424
184 462 562
61 722 -758
798 582 599
346 192 -9
395 517 -395
4 35 -726
673 466 -789
771 129 535
347 42 -947
736 818 927
9 22 441
453 562 944
182 812 -249
454 516 -188
718 628 869
182 444 353
141 454 -638
509 276 378
171 266 304
339 692 721
480 342 -556
740 107 628
288 14 -803
41 397 366
524 115 -312
509 609 710
440 777 586
166 772 40
429 432 77
276 786 -541
289 753 -428
11 784 -781
780 528 921
472 345 273
329 161 -442
337 830 -950
412 211 -893
244 396 -255
691 792 -109
37 335 -243
376 188 364
383 786 874
248 21 828
800 658 721
748 548 83
302 346 -795
546 415 976
417 759 -276
569 486 814
455 571 349
352 209 -123
481 759 -676
242 477 -868
649 300 -892
320 230 -187
369 378 182
662 701 -645
193 255 183
618 462 -569
549 439 -746
485 189 53
402 759 -103
838 359 -961
322 328 485
173 815 856
338 519 -38
541 740 -621
174 506 0
513 832 816
129 418 -253
770 623 25
331 425 -776
135 462 -932
128 120 -589
265 610 -605
509 658 -419
329 195 -206
402 597 -130
164 702 322
722 458 -314
12 531 397
195 230 -450
149 274 459
709 68 -714
719 498 -339
753 341 31
58 170 -416
828 634 -791
812 93 394
535 675 -841
252 66 897
331 271 -42
308 234 -73
335 567 -608
280 263 -126
43 481 384
70 49 -871
394 166 -551
818 20 -559
690 147 977
644 183 -42
144 590 279
677 230 -592
240 354 -299
182 374 568
179 167 -481
806 485 -426
726 81 588
76 700 -709
565 604 154
129 419 -976
118 567 89
691 655 -386
766 26 -506
425 305 412
621 800 -843
38 838 -679
493 476 -584
453 497 -485
91 231 782
466 306 20
472 229 351
70 821 939
167 826 117
833 394 -22
112 808 674
655 635 511
105 218 -899
796 110 226
592 31 -100
431 823 654
491 737 -653
437 29 -286
214 528 -750
52 357 -23
484 746 -835
249 40 -529
139 289 463
782 833 804
509 632 -163
321 709 276
383 763 -326
224 437 -62
553 166 -991
402 147 -640
268 594 -114
76 126 912
612 102 -487
484 557 -335
258 213 637
498 80 387
739 628 56
496 641 119
199 161 -739
619 399 712
359 503 -757
476 379 150
13 553 86
680 224 981
223 440 -877
403 393 -278
288 179 712
162 711 -344
719 49 612
751 772 -41
488 737 277
373 681 -508
458 83 156
374 95 -632
516 102 488
593 724 633
203 321 -894
705 377 491
62 655 -959
1 459 758
738 398 881
268 260 -814
499 124 -832
789 309 -240
595 337 -765
661 652 812
710 221 -782
603 572 1000
567 424 238
211 367 362
153 482 149
684 635 444
557 74 170
286 483 312
688 567 760
130 826 -130
821 188 250
244 642 -694
135 140 -884
792 310 -33
136 428 541
761 534 -485
80 43 -567
620 207 235
787 366 -151
637 325 51
163 707 -800
412 41 -881
407 801 -48
840 349 -478
749 725 -678
450 430 -467
89 477 -960
787 71 494
633 179 -88
400 514 -931
473 743 -103
85 636 -878
379 182 424
482 597 87
471 150 94
